35238;8853;6360;Rue;Marie Rouault;Rue Marie Rouault;;Marie;;;;Rouault;F;
35238;9982;3064;Allée;Marion du Faouët;Allée Marion du Faouët;;Marion;;;du;Faouët;F;
35238;10024;6611;Rue;Micheline Ostermeyer;Rue Micheline Ostermeyer;;Micheline;;;;Ostermeyer;F;
35238;9371;6868;Rue;Nathalie Lemel;Rue Nathalie Lemel;;Nathalie;;;;Lemel;F;
35238;10069;R138;Square;Odette Séveur;Square Odette Séveur;;Odette;;;;Séveur;F;
35238;9911;6955;Rue;Olympe de Gouges;Rue Olympe de Gouges;;Olympe;;;de;Gouges;F;
35238;9816;8298;Rue;Renée Prévert;Rue Renée Prévert;;Renée;;;;Prévert;F;
35238;10101;9921;Passage;Rosa Bonheur;Passage Rosa Bonheur;;Rosa;;;;Bonheur;F;
35238;9662;8979;Square;Sarah Bernhardt;Square Sarah Bernhardt;;Sarah;;;;Bernhardt;F;
35238;10174;9034;Place;Simone de Beauvoir;Place Simone de Beauvoir;;Simone;;;de;Beauvoir;F;
35238;10011;9035;Square;Simone Morand;Square Simone Morand;;Simone;;;;Morand;F;
35238;8839;9040;Allée;Simone Weil;Allée Simone Weil;;Simone;;;;Weil;F;
35238;8699;9080;Rue;Sophie Michel;Rue Sophie Michel;;Sophie;;;;Michel;F;
35238;10109;A131;Jardin;Sophie Germain;Jardin Sophie Germain;;Sophie;;;;Germain;F;
35238;10031;9778;Rue;Yvonne Jean-Haffen;Rue Yvonne Jean-Haffen;;Yvonne;;;;Jean-Haffen;F;
35238;8734;9800;Rue;Zenaïde Fleuriot;Rue Zenaïde Fleuriot;;Zenaïde;;;;Fleuriot;F;
35238;8640;9030;Boulevard;de Sévigné;Boulevard de Sévigné;;;;;de;Sévigné;F;
35238;9000;3950;Avenue;de Grignan;Avenue de Grignan;;;;;de;Grignan;F;
35238;9962;9186;Allée;Mère Teresa;Allée Mère Teresa;;;;;;Teresa;F;
35238;9390;3079;Rue;Fée Viviane;Rue de la Fée Viviane;de la;;;;;Fée Viviane;F;
35238;9178;6200;Rue;Marçais-Martin;Rue Marçais-Martin;;;;;;Marçais-Martin;F;
35238;10104;R198;Chemin;La Vagabonde;Chemin de La Vagabonde;de;;;;;La Vagabonde;F;
35238;10015;595;Rue;Barbara;Rue Barbara;;;;;;Barbara;F;
35238;8917;2340;Rue;Dames;Rue des Dames;des;;;;;Dames;F;
35238;9961;9029;Square;Séverine;Square Séverine;;;;;;Séverine;F;
35238;8664;6070;Rue;Madame du Campfranc;Rue Madame du Campfranc;;;;;du;Campfranc;F;
35238;8747;8900;Allée;Sainte-Sophie;Allée Sainte-Sophie;;;;;;Sainte-Sophie;F;
35238;9051;8870;Place;Sainte-Anne;Place Sainte-Anne;;;;;;Sainte-Anne;F;
35238;10105;R199;Promenade;Dame Julienne;Promenade de la Dame Julienne;de la;;;;;Dame Julienne;F;
35238;10013;2047;Rue;Colette;Rue Colette;;;;;;Colette;F;
35238;8768;2630;Boulevard;Duchesse Anne;Boulevard de la Duchesse Anne;de la;;;;;Duchesse Anne;F;
35238;10003;388;Rue;André et Yvonne Meynier;Rue André et Yvonne Meynier;;André;et;Yvonne;;Meynier;FM;
35238;9732;R147;Square;Claire et Guy Champollion;Square Claire et Guy Champollion;;Claire;et;Guy;;Champollion;FM;
35238;10041;9371;Passage;Tristan et Iseult;Passage Tristan et Iseult;;;;;;Tristan et Iseult;FM;
35238;9998;49;Allée;Adolphe Bobierre;Allée Adolphe Bobierre;;Adolphe;;;;Bobierre;M;
35238;8855;50;Rue;Adolphe Leray;Rue Adolphe Leray;;Adolphe;;;;Leray;M;
35238;9878;62;Rue;Adolphe Touffait;Rue Adolphe Touffait;;Adolphe;;;;Touffait;M;
